,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,st_rad,st_mass,st_met,sy_dist,decade_of_discovery,pl_type,st_compactness
1198,K2-208 b,K2-208,1,1,Transit,2018,4.190948,1.679,0.86,0.93,-0.11,256.887,2010s,Super-Earth,1.0813953488372094
1199,K2-209 b,K2-209,1,1,Transit,2018,2.080615,0.869,0.71,0.74,-0.06,76.4986,2010s,Terrestrial,1.0422535211267605
1200,K2-21 b,K2-21,1,2,Transit,2015,9.325038,1.84,0.65,0.68,-0.11,83.6448,2010s,Sub-Neptune,1.0461538461538462
1201,K2-21 c,K2-21,1,2,Transit,2015,15.50192,2.49,0.65,0.68,-0.11,83.6448,2010s,Sub-Neptune,1.0461538461538462
1202,K2-210 b,K2-210,1,1,Transit,2018,0.57023,0.86,0.89,0.91,0.0,176.51,2010s,Terrestrial,1.0224719101123596
1203,K2-211 b,K2-211,1,1,Transit,2018,0.669532,1.3,0.79,0.88,-0.04,272.297,2010s,Super-Earth,1.1139240506329113
1204,K2-212 b,K2-212,1,1,Transit,2018,9.79551,2.52,0.65,0.67,0.03,109.218,2010s,Sub-Neptune,1.0307692307692309
1205,K2-213 b,K2-213,1,1,Transit,2018,8.13087,1.514,1.2,1.07,0.25,389.702,2010s,Super-Earth,0.8916666666666667
1206,K2-214 b,K2-214,1,1,Transit,2018,8.596802,2.43,1.27,1.05,0.05,300.64,2010s,Sub-Neptune,0.8267716535433071
1207,K2-215 b,K2-215,1,1,Transit,2018,8.269648,2.124,0.97,1.0,0.11,403.964,2010s,Sub-Neptune,1.0309278350515465
1208,K2-216 b,K2-216,1,1,Transit,2018,2.1748,1.75,0.72,0.7,0.0,115.461,2010s,Sub-Neptune,0.9722222222222222
1209,K2-217 b,K2-217,1,1,Transit,2018,14.074524,3.579,1.33,1.1,0.04,381.878,2010s,Sub-Jovian,0.8270676691729324
1210,K2-218 b,K2-218,1,1,Transit,2018,8.679885,2.569,1.01,1.05,0.25,394.083,2010s,Sub-Neptune,1.0396039603960396
1211,K2-219 b,K2-219,1,3,Transit,2018,3.901287,1.348,1.19,1.02,0.13,325.4,2010s,Super-Earth,0.8571428571428572
1212,K2-219 c,K2-219,1,3,Transit,2018,6.66767,1.438,1.19,1.02,0.13,325.4,2010s,Super-Earth,0.8571428571428572
1213,K2-219 d,K2-219,1,3,Transit,2018,11.137278,2.576,1.19,1.02,0.13,325.4,2010s,Sub-Neptune,0.8571428571428572
1214,K2-22 b,K2-22,2,1,Transit,2015,0.381073,2.3,0.58,0.6,0.032,243.836,2010s,Sub-Neptune,1.0344827586206897
1215,K2-220 b,K2-220,1,1,Transit,2018,13.683256,2.39,1.02,0.96,0.04,233.514,2010s,Sub-Neptune,0.9411764705882353
1216,K2-221 b,K2-221,1,1,Transit,2018,2.399094,1.679,0.95,1.01,0.13,318.81,2010s,Super-Earth,1.063157894736842
1217,K2-222 b,K2-222,1,1,Transit,2018,15.387063,2.39,1.09,1.0,-0.21,101.321,2010s,Sub-Neptune,0.9174311926605504
1218,K2-223 b,K2-223,1,2,Transit,2018,0.50557,0.89,1.0,1.06,0.19,198.604,2010s,Terrestrial,1.06
1219,K2-223 c,K2-223,1,2,Transit,2018,4.562546,1.5,1.0,1.06,0.19,198.604,2010s,Super-Earth,1.06
1220,K2-224 b,K2-224,1,2,Transit,2018,4.47904,1.56,0.84,0.91,-0.19,275.255,2010s,Super-Earth,1.0833333333333335
1221,K2-224 c,K2-224,1,2,Transit,2018,10.09489,2.41,0.84,0.91,-0.19,275.255,2010s,Sub-Neptune,1.0833333333333335
1222,K2-225 b,K2-225,1,1,Transit,2018,15.87209,3.49,1.7,1.27,0.38,357.778,2010s,Sub-Neptune,0.7470588235294118
1223,K2-226 b,K2-226,1,1,Transit,2018,3.27108,1.54,0.91,0.88,-0.03,211.265,2010s,Super-Earth,0.967032967032967
1224,K2-227 b,K2-227,1,1,Transit,2018,13.621832,1.666,0.89,0.95,-0.1,187.234,2010s,Super-Earth,1.0674157303370786
1225,K2-228 b,K2-228,1,1,Transit,2018,2.69828,1.21,0.65,0.71,-0.25,129.46,2010s,Super-Earth,1.0923076923076922
1226,K2-229 b,K2-229,1,2,Transit,2018,0.584216,1.0,0.79,0.87,-0.09,102.564,2010s,Terrestrial,1.10126582278481
1227,K2-229 c,K2-229,1,2,Transit,2018,8.32727,2.03,0.79,0.87,-0.09,102.564,2010s,Sub-Neptune,1.10126582278481
1228,K2-230 b,K2-230,1,1,Transit,2018,2.86041,1.96,1.39,1.11,0.1,540.773,2010s,Sub-Neptune,0.7985611510791368
1229,K2-231 b,K2-231,1,1,Transit,2018,13.841901,2.5,0.95,1.01,0.14,321.215,2010s,Sub-Neptune,1.063157894736842
1230,K2-232 b,K2-232,1,1,Transit,2018,11.168454,11.209,1.16,1.19,0.1,130.72,2010s,Jovian,1.0258620689655173
1231,K2-233 b,K2-233,1,3,Transit,2018,2.4675,1.343,0.71,0.79,-0.09,67.5062,2010s,Super-Earth,1.1126760563380282
1232,K2-233 c,K2-233,1,3,Transit,2018,7.06005,1.281,0.71,0.79,-0.09,67.5062,2010s,Super-Earth,1.1126760563380282
1233,K2-233 d,K2-233,1,3,Transit,2018,24.3645,2.358,0.71,0.79,-0.09,67.5062,2010s,Sub-Neptune,1.1126760563380282
1234,K2-237 b,K2-237,1,1,Transit,2018,2.18053539,16.197,1.26,1.26,0.137,314.995,2010s,Jovian,1.0
1235,K2-238 b,K2-238,1,1,Transit,2018,3.20466,14.572,1.59,1.19,0.34,537.963,2010s,Jovian,0.7484276729559748
1236,K2-239 b,K2-239,1,3,Transit,2018,5.24,1.1,0.36,0.4,-0.1,31.0849,2010s,Super-Earth,1.1111111111111112
1237,K2-239 c,K2-239,1,3,Transit,2018,7.775,1.0,0.36,0.4,-0.1,31.0849,2010s,Terrestrial,1.1111111111111112
1238,K2-239 d,K2-239,1,3,Transit,2018,10.115,1.1,0.36,0.4,-0.1,31.0849,2010s,Super-Earth,1.1111111111111112
1239,K2-24 b,K2-24,1,2,Transit,2016,20.88977,5.4,1.16,1.07,0.34,170.562,2010s,Sub-Jovian,0.9224137931034484
